Disease,County,Year,Sex,Count,Population,Rate,CI.lower,CI.upper,Unstable,Calculated_Rate,Rate_Diff,Year_Index,Decade
Amebiasis,California,2001,Total,571,34514777,1.654,1.521,1.796, ,1.6543638685540398,0.00036386855403991447,1,2000
Amebiasis,California,2001,Female,176,17340743,1.015,0.871,1.176, ,1.0149507434600697,4.9256539930153664e-05,1,2000
Amebiasis,California,2001,Male,365,17174034,2.125,1.913,2.355, ,2.125301487117121,0.0003014871171211908,1,2000
Amebiasis,California,2002,Total,442,34940334,1.265,1.15,1.389, ,1.2650136658682198,1.3665868219936428e-05,2,2000
Amebiasis,California,2002,Female,145,17555714,0.826,0.697,0.972, ,0.8259419127014714,5.808729852851968e-05,2,2000
Amebiasis,California,2002,Male,279,17384620,1.605,1.422,1.805, ,1.604866830566328,0.00013316943367192025,2,2000
Amebiasis,California,2003,Total,403,35390986,1.139,1.03,1.255, ,1.138708031474455,0.0002919685255449167,3,2000
Amebiasis,California,2003,Female,127,17783924,0.714,0.595,0.85, ,0.714128108059841,0.00012810805984098117,3,2000
Amebiasis,California,2003,Male,261,17607062,1.482,1.308,1.674, ,1.4823597486054174,0.0003597486054174315,3,2000
Amebiasis,California,2004,Total,359,35754827,1.004,0.903,1.113, ,1.0040602349998784,6.0234999878394646e-05,4,2000
Amebiasis,California,2004,Female,101,17969405,0.562,0.458,0.683, ,0.5620664679770978,6.646797709775054e-05,4,2000
Amebiasis,California,2004,Male,247,17785422,1.389,1.221,1.573, ,1.3887778428872815,0.00022215711271855731,4,2000
Amebiasis,California,2005,Total,365,35987637,1.014,0.913,1.124, ,1.014237194845552,0.0002371948455519579,5,2000
Amebiasis,California,2005,Female,103,18088355,0.569,0.465,0.691, ,0.5694271259050367,0.00042712590503679593,5,2000
Amebiasis,California,2005,Male,255,17899282,1.425,1.255,1.611, ,1.4246381502900507,0.00036184970994934673,5,2000
Amebiasis,California,2006,Total,377,36248870,1.04,0.938,1.151, ,1.0400324203209645,3.2420320964510196e-05,6,2000
Amebiasis,California,2006,Female,110,18220429,0.604,0.496,0.728, ,0.603717947585098,0.00028205241490197874,6,2000
Amebiasis,California,2006,Male,257,18028441,1.426,1.257,1.611, ,1.4255253684996945,0.00047463150030546686,6,2000
Amebiasis,California,2007,Total,433,36554575,1.185,1.076,1.302, ,1.1845302537370495,0.00046974626295059885,7,2000
Amebiasis,California,2007,Female,142,18373955,0.773,0.651,0.911, ,0.7728330672411029,0.00016693275889712034,7,2000
Amebiasis,California,2007,Male,286,18180620,1.573,1.396,1.766, ,1.5731036675316903,0.00010366753169033238,7,2000
Amebiasis,California,2008,Total,436,36858270,1.183,1.074,1.299, ,1.1829095614091492,9.043859085089423e-05,8,2000
Amebiasis,California,2008,Female,147,18526603,0.793,0.67,0.933, ,0.7934536083058508,0.00045360830585072787,8,2000
Amebiasis,California,2008,Male,287,18331667,1.566,1.39,1.758, ,1.5655968439749643,0.00040315602503571135,8,2000
Amebiasis,California,2009,Total,398,37079253,1.073,0.971,1.184, ,1.0733765321539785,0.00037653215397859263,9,2000
Amebiasis,California,2009,Female,112,18634031,0.601,0.495,0.723, ,0.6010508407976781,5.08407976781422e-05,9,2000
Amebiasis,California,2009,Male,285,18445222,1.545,1.371,1.735, ,1.5451155860308974,0.00011558603089745212,9,2000
Amebiasis,California,2010,Total,406,37311439,1.088,0.985,1.199, ,1.0881381444441207,0.00013814444412063587,10,2010
Amebiasis,California,2010,Female,108,18752748,0.576,0.472,0.695, ,0.5759155938105711,8.440618942884281e-05,10,2010
Amebiasis,California,2010,Male,297,18558691,1.6,1.423,1.793, ,1.6003283852293246,0.00032838522932454595,10,2010
Amebiasis,California,2011,Total,365,37572186,0.971,0.874,1.076, ,0.971463305329107,0.00046330532910698885,11,2010
Amebiasis,California,2011,Female,118,18881056,0.625,0.517,0.748, ,0.6249650443280291,3.4955671970871016e-05,11,2010
Amebiasis,California,2011,Male,245,18691131,1.311,1.152,1.486, ,1.310782103019876,0.00021789698012386616,11,2010
Amebiasis,California,2012,Total,371,37869573,0.98,0.883,1.085, ,0.979678329090217,0.0003216709097829673,12,2010
Amebiasis,California,2012,Female,101,19028077,0.531,0.432,0.645, ,0.530794572672793,0.00020542732720707502,12,2010
Amebiasis,California,2012,Male,266,18841496,1.412,1.247,1.592, ,1.411777493676723,0.00022250632327702746,12,2010
Amebiasis,California,2013,Total,286,38166117,0.749,0.665,0.841, ,0.7493557701979481,0.00035577019794807985,13,2010
Amebiasis,California,2013,Female,66,19177344,0.344,0.266,0.438, ,0.3441561042029595,0.00015610420295952832,13,2010
Amebiasis,California,2013,Male,173,18988773,0.911,0.78,1.057, ,0.9110646591014596,6.465910145958542e-05,13,2010
Amebiasis,California,2014,Total,288,38501494,0.748,0.664,0.84, ,0.7480229208767847,2.2920876784682243e-05,14,2010
Amebiasis,California,2014,Female,73,19346905,0.377,0.296,0.474, ,0.3773213338257463,0.0003213338257462839,14,2010
Amebiasis,California,2014,Male,167,19154588,0.872,0.745,1.015, ,0.8718537824984802,0.0001462175015197742,14,2010
Anaplasmosis and Ehrlichiosis,California,2001,Total,1,34514777,0.003,0.0,0.016,*,0.002897309752283783,0.00010269024771621723,1,2000
Anaplasmosis and Ehrlichiosis,California,2001,Female,1,17340743,0.006,0.0,0.032,*,0.005766765587841305,0.0002332344121586949,1,2000
Anaplasmosis and Ehrlichiosis,California,2001,Male,0,17174034,0.0,0.0,0.021,-,0.0,0.0,1,2000
Anaplasmosis and Ehrlichiosis,California,2002,Total,0,34940334,0.0,0.0,0.011,-,0.0,0.0,2,2000
Anaplasmosis and Ehrlichiosis,California,2002,Female,0,17555714,0.0,0.0,0.021,-,0.0,0.0,2,2000
Anaplasmosis and Ehrlichiosis,California,2002,Male,0,17384620,0.0,0.0,0.021,-,0.0,0.0,2,2000
Anaplasmosis and Ehrlichiosis,California,2003,Total,0,35390986,0.0,0.0,0.01,-,0.0,0.0,3,2000
Anaplasmosis and Ehrlichiosis,California,2003,Female,0,17783924,0.0,0.0,0.021,-,0.0,0.0,3,2000
Anaplasmosis and Ehrlichiosis,California,2003,Male,0,17607062,0.0,0.0,0.021,-,0.0,0.0,3,2000
Anaplasmosis and Ehrlichiosis,California,2004,Total,2,35754827,0.006,0.001,0.02,*,0.005593650334261162,0.0004063496657388385,4,2000
Anaplasmosis and Ehrlichiosis,California,2004,Female,1,17969405,0.006,0.0,0.031,*,0.00556501453442671,0.0004349854655732897,4,2000
Anaplasmosis and Ehrlichiosis,California,2004,Male,1,17785422,0.006,0.0,0.031,*,0.005622582359867537,0.0003774176401324632,4,2000
Anaplasmosis and Ehrlichiosis,California,2005,Total,4,35987637,0.011,0.003,0.028,*,0.011114928162690982,0.00011492816269098247,5,2000
Anaplasmosis and Ehrlichiosis,California,2005,Female,3,18088355,0.017,0.003,0.048,*,0.016585256094321457,0.0004147439056785447,5,2000
Anaplasmosis and Ehrlichiosis,California,2005,Male,1,17899282,0.006,0.0,0.031,*,0.005586816275647258,0.000413183724352742,5,2000
Anaplasmosis and Ehrlichiosis,California,2006,Total,2,36248870,0.006,0.001,0.02,*,0.005517413370402994,0.00048258662959700573,6,2000
Anaplasmosis and Ehrlichiosis,California,2006,Female,0,18220429,0.0,0.0,0.02,-,0.0,0.0,6,2000
Anaplasmosis and Ehrlichiosis,California,2006,Male,2,18028441,0.011,0.001,0.04,*,0.011093582634238867,9.358263423886806e-05,6,2000
Anaplasmosis and Ehrlichiosis,California,2007,Total,1,36554575,0.003,0.0,0.015,*,0.002735635689923901,0.0002643643100760989,7,2000
Anaplasmosis and Ehrlichiosis,California,2007,Female,1,18373955,0.005,0.0,0.03,*,0.005442486389021852,0.0004424863890218518,7,2000
Anaplasmosis and Ehrlichiosis,California,2007,Male,0,18180620,0.0,0.0,0.02,-,0.0,0.0,7,2000
Anaplasmosis and Ehrlichiosis,California,2008,Total,0,36858270,0.0,0.0,0.01,-,0.0,0.0,8,2000
Anaplasmosis and Ehrlichiosis,California,2008,Female,0,18526603,0.0,0.0,0.02,-,0.0,0.0,8,2000
Anaplasmosis and Ehrlichiosis,California,2008,Male,0,18331667,0.0,0.0,0.02,-,0.0,0.0,8,2000
Anaplasmosis and Ehrlichiosis,California,2009,Total,3,37079253,0.008,0.002,0.024,*,0.008090777880557625,9.07778805576253e-05,9,2000
Anaplasmosis and Ehrlichiosis,California,2009,Female,2,18634031,0.011,0.001,0.039,*,0.010733050728529966,0.0002669492714700329,9,2000
Anaplasmosis and Ehrlichiosis,California,2009,Male,0,18445222,0.0,0.0,0.02,-,0.0,0.0,9,2000
Anaplasmosis and Ehrlichiosis,California,2010,Total,4,37311439,0.011,0.003,0.027,*,0.010720572851666214,0.000279427148333785,10,2010
Anaplasmosis and Ehrlichiosis,California,2010,Female,3,18752748,0.016,0.003,0.047,*,0.015997655383626973,2.344616373026881e-06,10,2010
Anaplasmosis and Ehrlichiosis,California,2010,Male,0,18558691,0.0,0.0,0.02,-,0.0,0.0,10,2010
Anaplasmosis and Ehrlichiosis,California,2011,Total,2,37572186,0.005,0.001,0.019,*,0.005323086604543052,0.0003230866045430521,11,2010
Anaplasmosis and Ehrlichiosis,California,2011,Female,1,18881056,0.005,0.0,0.03,*,0.005296313934983298,0.0002963139349832977,11,2010
Anaplasmosis and Ehrlichiosis,California,2011,Male,1,18691131,0.005,0.0,0.03,*,0.005350131032734188,0.0003501310327341878,11,2010
Anaplasmosis and Ehrlichiosis,California,2012,Total,7,37869573,0.018,0.007,0.038,*,0.018484496775287115,0.0004844967752871167,12,2010
Anaplasmosis and Ehrlichiosis,California,2012,Female,3,19028077,0.016,0.003,0.046,*,0.015766175425924542,0.00023382457407545784,12,2010
Anaplasmosis and Ehrlichiosis,California,2012,Male,4,18841496,0.021,0.006,0.054,*,0.02122973674701839,0.00022973674701838934,12,2010
Anaplasmosis and Ehrlichiosis,California,2013,Total,11,38166117,0.029,0.014,0.052,*,0.028821375776844155,0.00017862422315584672,13,2010
Anaplasmosis and Ehrlichiosis,California,2013,Female,4,19177344,0.021,0.006,0.053,*,0.020857945709270274,0.00014205429072972758,13,2010
Anaplasmosis and Ehrlichiosis,California,2013,Male,7,18988773,0.037,0.015,0.076,*,0.036863887940521485,0.00013611205947851313,13,2010
Anaplasmosis and Ehrlichiosis,California,2014,Total,7,38501494,0.018,0.007,0.037,*,0.01818111266019963,0.0001811126601996317,14,2010
Anaplasmosis and Ehrlichiosis,California,2014,Female,4,19346905,0.021,0.006,0.053,*,0.020675141579492948,0.0003248584205070536,14,2010
Anaplasmosis and Ehrlichiosis,California,2014,Male,3,19154588,0.016,0.003,0.046,*,0.015662043996978688,0.00033795600302131273,14,2010
Babesiosis,California,2001,Total,0,34514777,0.0,0.0,0.011,-,0.0,0.0,1,2000
Babesiosis,California,2001,Female,0,17340743,0.0,0.0,0.021,-,0.0,0.0,1,2000
Babesiosis,California,2001,Male,0,17174034,0.0,0.0,0.021,-,0.0,0.0,1,2000
Babesiosis,California,2002,Total,0,34940334,0.0,0.0,0.011,-,0.0,0.0,2,2000
Babesiosis,California,2002,Female,0,17555714,0.0,0.0,0.021,-,0.0,0.0,2,2000
Babesiosis,California,2002,Male,0,17384620,0.0,0.0,0.021,-,0.0,0.0,2,2000
Babesiosis,California,2003,Total,0,35390986,0.0,0.0,0.01,-,0.0,0.0,3,2000
Babesiosis,California,2003,Female,0,17783924,0.0,0.0,0.021,-,0.0,0.0,3,2000
Babesiosis,California,2003,Male,0,17607062,0.0,0.0,0.021,-,0.0,0.0,3,2000
Babesiosis,California,2004,Total,0,35754827,0.0,0.0,0.01,-,0.0,0.0,4,2000
Babesiosis,California,2004,Female,0,17969405,0.0,0.0,0.021,-,0.0,0.0,4,2000
Babesiosis,California,2004,Male,0,17785422,0.0,0.0,0.021,-,0.0,0.0,4,2000
Babesiosis,California,2005,Total,3,35987637,0.008,0.002,0.024,*,0.008336196122018236,0.0003361961220182362,5,2000
Babesiosis,California,2005,Female,1,18088355,0.006,0.0,0.031,*,0.005528418698107152,0.00047158130189284796,5,2000
Babesiosis,California,2005,Male,2,17899282,0.011,0.001,0.04,*,0.011173632551294516,0.00017363255129451693,5,2000
Babesiosis,California,2006,Total,1,36248870,0.003,0.0,0.015,*,0.002758706685201497,0.00024129331479850287,6,2000
Babesiosis,California,2006,Female,0,18220429,0.0,0.0,0.02,-,0.0,0.0,6,2000
Babesiosis,California,2006,Male,1,18028441,0.006,0.0,0.031,*,0.005546791317119434,0.0004532086828805664,6,2000
Babesiosis,California,2007,Total,6,36554575,0.016,0.006,0.036,*,0.01641381413954341,0.00041381413954341,7,2000
Babesiosis,California,2007,Female,1,18373955,0.005,0.0,0.03,*,0.005442486389021852,0.0004424863890218518,7,2000
Babesiosis,California,2007,Male,5,18180620,0.028,0.009,0.064,*,0.027501812369435146,0.0004981876305648544,7,2000
Babesiosis,California,2008,Total,1,36858270,0.003,0.0,0.015,*,0.002713095324332911,0.00028690467566708927,8,2000
Babesiosis,California,2008,Female,0,18526603,0.0,0.0,0.02,-,0.0,0.0,8,2000
Babesiosis,California,2008,Male,1,18331667,0.005,0.0,0.03,*,0.00545504126820545,0.0004550412682054498,8,2000
Babesiosis,California,2009,Total,2,37079253,0.005,0.001,0.019,*,0.005393851920371751,0.0003938519203717508,9,2000
Babesiosis,California,2009,Female,1,18634031,0.005,0.0,0.03,*,0.005366525364264983,0.0003665253642649831,9,2000
Babesiosis,California,2009,Male,1,18445222,0.005,0.0,0.03,*,0.00542145819659964,0.00042145819659963977,9,2000
Babesiosis,California,2010,Total,3,37311439,0.008,0.002,0.023,*,0.00804042963874966,4.0429638749660615e-05,10,2010
Babesiosis,California,2010,Female,3,18752748,0.016,0.003,0.047,*,0.015997655383626973,2.344616373026881e-06,10,2010
Babesiosis,California,2010,Male,0,18558691,0.0,0.0,0.02,-,0.0,0.0,10,2010
Babesiosis,California,2011,Total,2,37572186,0.005,0.001,0.019,*,0.005323086604543052,0.0003230866045430521,11,2010
Babesiosis,California,2011,Female,1,18881056,0.005,0.0,0.03,*,0.005296313934983298,0.0002963139349832977,11,2010
Babesiosis,California,2011,Male,1,18691131,0.005,0.0,0.03,*,0.005350131032734188,0.0003501310327341878,11,2010
Babesiosis,California,2012,Total,4,37869573,0.011,0.003,0.027,*,0.010562569585878352,0.0004374304141216475,12,2010
Babesiosis,California,2012,Female,1,19028077,0.005,0.0,0.029,*,0.005255391808641515,0.00025539180864151464,12,2010
Babesiosis,California,2012,Male,3,18841496,0.016,0.003,0.047,*,0.015922302560263793,7.769743973620735e-05,12,2010
Babesiosis,California,2013,Total,3,38166117,0.008,0.002,0.023,*,0.007860375211866588,0.00013962478813341235,13,2010
Babesiosis,California,2013,Female,0,19177344,0.0,0.0,0.019,-,0.0,0.0,13,2010
Babesiosis,California,2013,Male,3,18988773,0.016,0.003,0.046,*,0.015798809117366353,0.00020119088263364712,13,2010
Babesiosis,California,2014,Total,3,38501494,0.008,0.002,0.023,*,0.007791905425799841,0.00020809457420015946,14,2010
Babesiosis,California,2014,Female,2,19346905,0.01,0.001,0.037,*,0.010337570789746474,0.00033757078974647366,14,2010
Babesiosis,California,2014,Male,1,19154588,0.005,0.0,0.029,*,0.0052206813323262295,0.00022068133232622938,14,2010
"Botulism, Foodborne",California,2001,Total,4,34514777,0.012,0.003,0.03,*,0.011589239009135131,0.0004107609908648689,1,2000
"Botulism, Foodborne",California,2001,Female,2,17340743,0.012,0.001,0.042,*,0.01153353117568261,0.0004664688243173898,1,2000
"Botulism, Foodborne",California,2001,Male,2,17174034,0.012,0.001,0.042,*,0.01164548760064176,0.00035451239935824046,1,2000
"Botulism, Foodborne",California,2002,Total,0,34940334,0.0,0.0,0.011,-,0.0,0.0,2,2000
"Botulism, Foodborne",California,2002,Female,0,17555714,0.0,0.0,0.021,-,0.0,0.0,2,2000
"Botulism, Foodborne",California,2002,Male,0,17384620,0.0,0.0,0.021,-,0.0,0.0,2,2000
"Botulism, Foodborne",California,2003,Total,2,35390986,0.006,0.001,0.02,*,0.005651156483744194,0.00034884351625580606,3,2000
"Botulism, Foodborne",California,2003,Female,2,17783924,0.011,0.001,0.041,*,0.011246111937950252,0.00024611193795025244,3,2000
"Botulism, Foodborne",California,2003,Male,0,17607062,0.0,0.0,0.021,-,0.0,0.0,3,2000
"Botulism, Foodborne",California,2004,Total,5,35754827,0.014,0.005,0.033,*,0.013984125835652903,1.5874164347097486e-05,4,2000
"Botulism, Foodborne",California,2004,Female,0,17969405,0.0,0.0,0.021,-,0.0,0.0,4,2000
"Botulism, Foodborne",California,2004,Male,5,17785422,0.028,0.009,0.066,*,0.028112911799337684,0.00011291179933768311,4,2000
"Botulism, Foodborne",California,2005,Total,3,35987637,0.008,0.002,0.024,*,0.008336196122018236,0.0003361961220182362,5,2000
"Botulism, Foodborne",California,2005,Female,0,18088355,0.0,0.0,0.02,-,0.0,0.0,5,2000
"Botulism, Foodborne",California,2005,Male,3,17899282,0.017,0.003,0.049,*,0.016760448826941773,0.0002395511730582285,5,2000
"Botulism, Foodborne",California,2006,Total,6,36248870,0.017,0.006,0.036,*,0.016552240111208986,0.00044775988879101544,6,2000
"Botulism, Foodborne",California,2006,Female,3,18220429,0.016,0.003,0.048,*,0.016465034934139037,0.00046503493413903654,6,2000
"Botulism, Foodborne",California,2006,Male,3,18028441,0.017,0.003,0.049,*,0.0166403739513583,0.0003596260486417001,6,2000
"Botulism, Foodborne",California,2007,Total,2,36554575,0.005,0.001,0.02,*,0.005471271379847802,0.0004712713798478022,7,2000
"Botulism, Foodborne",California,2007,Female,1,18373955,0.005,0.0,0.03,*,0.005442486389021852,0.0004424863890218518,7,2000
"Botulism, Foodborne",California,2007,Male,1,18180620,0.006,0.0,0.031,*,0.005500362473887029,0.0004996375261129707,7,2000
"Botulism, Foodborne",California,2008,Total,3,36858270,0.008,0.002,0.024,*,0.008139285972998733,0.00013928597299873308,8,2000
"Botulism, Foodborne",California,2008,Female,1,18526603,0.005,0.0,0.03,*,0.0053976435939173525,0.0003976435939173524,8,2000
"Botulism, Foodborne",California,2008,Male,2,18331667,0.011,0.001,0.039,*,0.0109100825364109,8.991746358909952e-05,8,2000
"Botulism, Foodborne",California,2009,Total,3,37079253,0.008,0.002,0.024,*,0.008090777880557625,9.07778805576253e-05,9,2000
"Botulism, Foodborne",California,2009,Female,1,18634031,0.005,0.0,0.03,*,0.005366525364264983,0.0003665253642649831,9,2000
"Botulism, Foodborne",California,2009,Male,2,18445222,0.011,0.001,0.039,*,0.01084291639319928,0.00015708360680071962,9,2000
"Botulism, Foodborne",California,2010,Total,1,37311439,0.003,0.0,0.015,*,0.0026801432129165536,0.00031985678708344647,10,2010
"Botulism, Foodborne",California,2010,Female,0,18752748,0.0,0.0,0.02,-,0.0,0.0,10,2010
"Botulism, Foodborne",California,2010,Male,1,18558691,0.005,0.0,0.03,*,0.0053883110613781975,0.00038831106137819735,10,2010
"Botulism, Foodborne",California,2011,Total,1,37572186,0.003,0.0,0.015,*,0.002661543302271526,0.00033845669772847396,11,2010
"Botulism, Foodborne",California,2011,Female,0,18881056,0.0,0.0,0.02,-,0.0,0.0,11,2010
"Botulism, Foodborne",California,2011,Male,1,18691131,0.005,0.0,0.03,*,0.005350131032734188,0.0003501310327341878,11,2010
"Botulism, Foodborne",California,2012,Total,1,37869573,0.003,0.0,0.015,*,0.002640642396469588,0.0003593576035304121,12,2010
"Botulism, Foodborne",California,2012,Female,1,19028077,0.005,0.0,0.029,*,0.005255391808641515,0.00025539180864151464,12,2010
"Botulism, Foodborne",California,2012,Male,0,18841496,0.0,0.0,0.02,-,0.0,0.0,12,2010
"Botulism, Foodborne",California,2013,Total,1,38166117,0.003,0.0,0.015,*,0.002620125070622196,0.000379874929377804,13,2010
"Botulism, Foodborne",California,2013,Female,1,19177344,0.005,0.0,0.029,*,0.005214486427317568,0.00021448642731756833,13,2010
"Botulism, Foodborne",California,2013,Male,0,18988773,0.0,0.0,0.019,-,0.0,0.0,13,2010
"Botulism, Foodborne",California,2014,Total,0,38501494,0.0,0.0,0.01,-,0.0,0.0,14,2010
"Botulism, Foodborne",California,2014,Female,0,19346905,0.0,0.0,0.019,-,0.0,0.0,14,2010
"Botulism, Foodborne",California,2014,Male,0,19154588,0.0,0.0,0.019,-,0.0,0.0,14,2010
"Botulism, Other",California,2001,Total,0,34514777,0.0,0.0,0.011,-,0.0,0.0,1,2000
"Botulism, Other",California,2001,Female,0,17340743,0.0,0.0,0.021,-,0.0,0.0,1,2000
"Botulism, Other",California,2001,Male,0,17174034,0.0,0.0,0.021,-,0.0,0.0,1,2000
"Botulism, Other",California,2002,Total,0,34940334,0.0,0.0,0.011,-,0.0,0.0,2,2000
"Botulism, Other",California,2002,Female,0,17555714,0.0,0.0,0.021,-,0.0,0.0,2,2000
"Botulism, Other",California,2002,Male,0,17384620,0.0,0.0,0.021,-,0.0,0.0,2,2000
"Botulism, Other",California,2003,Total,0,35390986,0.0,0.0,0.01,-,0.0,0.0,3,2000
"Botulism, Other",California,2003,Female,0,17783924,0.0,0.0,0.021,-,0.0,0.0,3,2000
"Botulism, Other",California,2003,Male,0,17607062,0.0,0.0,0.021,-,0.0,0.0,3,2000
"Botulism, Other",California,2004,Total,0,35754827,0.0,0.0,0.01,-,0.0,0.0,4,2000
"Botulism, Other",California,2004,Female,0,17969405,0.0,0.0,0.021,-,0.0,0.0,4,2000
"Botulism, Other",California,2004,Male,0,17785422,0.0,0.0,0.021,-,0.0,0.0,4,2000
"Botulism, Other",California,2005,Total,0,35987637,0.0,0.0,0.01,-,0.0,0.0,5,2000
"Botulism, Other",California,2005,Female,0,18088355,0.0,0.0,0.02,-,0.0,0.0,5,2000
"Botulism, Other",California,2005,Male,0,17899282,0.0,0.0,0.021,-,0.0,0.0,5,2000
"Botulism, Other",California,2006,Total,0,36248870,0.0,0.0,0.01,-,0.0,0.0,6,2000
"Botulism, Other",California,2006,Female,0,18220429,0.0,0.0,0.02,-,0.0,0.0,6,2000
"Botulism, Other",California,2006,Male,0,18028441,0.0,0.0,0.02,-,0.0,0.0,6,2000
"Botulism, Other",California,2007,Total,0,36554575,0.0,0.0,0.01,-,0.0,0.0,7,2000
"Botulism, Other",California,2007,Female,0,18373955,0.0,0.0,0.02,-,0.0,0.0,7,2000
"Botulism, Other",California,2007,Male,0,18180620,0.0,0.0,0.02,-,0.0,0.0,7,2000
"Botulism, Other",California,2008,Total,0,36858270,0.0,0.0,0.01,-,0.0,0.0,8,2000
"Botulism, Other",California,2008,Female,0,18526603,0.0,0.0,0.02,-,0.0,0.0,8,2000
"Botulism, Other",California,2008,Male,0,18331667,0.0,0.0,0.02,-,0.0,0.0,8,2000
"Botulism, Other",California,2009,Total,0,37079253,0.0,0.0,0.01,-,0.0,0.0,9,2000
"Botulism, Other",California,2009,Female,0,18634031,0.0,0.0,0.02,-,0.0,0.0,9,2000
"Botulism, Other",California,2009,Male,0,18445222,0.0,0.0,0.02,-,0.0,0.0,9,2000
"Botulism, Other",California,2010,Total,0,37311439,0.0,0.0,0.01,-,0.0,0.0,10,2010
"Botulism, Other",California,2010,Female,0,18752748,0.0,0.0,0.02,-,0.0,0.0,10,2010
"Botulism, Other",California,2010,Male,0,18558691,0.0,0.0,0.02,-,0.0,0.0,10,2010
"Botulism, Other",California,2011,Total,3,37572186,0.008,0.002,0.023,*,0.007984629906814578,1.5370093185421846e-05,11,2010
"Botulism, Other",California,2011,Female,2,18881056,0.011,0.001,0.038,*,0.010592627869966596,0.0004073721300334038,11,2010
"Botulism, Other",California,2011,Male,1,18691131,0.005,0.0,0.03,*,0.005350131032734188,0.0003501310327341878,11,2010
"Botulism, Other",California,2012,Total,2,37869573,0.005,0.001,0.019,*,0.005281284792939176,0.0002812847929391758,12,2010
"Botulism, Other",California,2012,Female,0,19028077,0.0,0.0,0.019,-,0.0,0.0,12,2010
"Botulism, Other",California,2012,Male,2,18841496,0.011,0.001,0.038,*,0.010614868373509195,0.00038513162649080404,12,2010
"Botulism, Other",California,2013,Total,0,38166117,0.0,0.0,0.01,-,0.0,0.0,13,2010
"Botulism, Other",California,2013,Female,0,19177344,0.0,0.0,0.019,-,0.0,0.0,13,2010
"Botulism, Other",California,2013,Male,0,18988773,0.0,0.0,0.019,-,0.0,0.0,13,2010
"Botulism, Other",California,2014,Total,1,38501494,0.003,0.0,0.014,*,0.0025973018085999468,0.0004026981914000533,14,2010
"Botulism, Other",California,2014,Female,0,19346905,0.0,0.0,0.019,-,0.0,0.0,14,2010
"Botulism, Other",California,2014,Male,1,19154588,0.005,0.0,0.029,*,0.0052206813323262295,0.00022068133232622938,14,2010
"Botulism, Wound",California,2001,Total,20,34514777,0.058,0.035,0.089, ,0.05794619504567566,5.380495432434629e-05,1,2000
"Botulism, Wound",California,2001,Female,9,17340743,0.052,0.024,0.099,*,0.051900890290571745,9.910970942825226e-05,1,2000
"Botulism, Wound",California,2001,Male,11,17174034,0.064,0.032,0.115,*,0.06405018180352968,5.01818035296836e-05,1,2000
"Botulism, Wound",California,2002,Total,23,34940334,0.066,0.042,0.099, ,0.06582650297504311,0.00017349702495689234,2,2000
"Botulism, Wound",California,2002,Female,4,17555714,0.023,0.006,0.058,*,0.022784604488316453,0.0002153955116835464,2,2000
"Botulism, Wound",California,2002,Male,19,17384620,0.109,0.066,0.171, ,0.10929200638265318,0.00029200638265318435,2,2000
"Botulism, Wound",California,2003,Total,21,35390986,0.059,0.037,0.091, ,0.059337143079314036,0.00033714307931403953,3,2000
"Botulism, Wound",California,2003,Female,5,17783924,0.028,0.009,0.066,*,0.028115279844875628,0.00011527984487562717,3,2000
"Botulism, Wound",California,2003,Male,16,17607062,0.091,0.052,0.148,*,0.09087262826699877,0.00012737173300123028,3,2000
"Botulism, Wound",California,2004,Total,18,35754827,0.05,0.03,0.08,*,0.05034285300835045,0.0003428530083504494,4,2000
"Botulism, Wound",California,2004,Female,2,17969405,0.011,0.001,0.04,*,0.01113002906885342,0.00013002906885342148,4,2000
"Botulism, Wound",California,2004,Male,16,17785422,0.09,0.051,0.146,*,0.08996131775788059,3.8682242119406074e-05,4,2000
"Botulism, Wound",California,2005,Total,27,35987637,0.075,0.049,0.109, ,0.07502576509816412,2.5765098164126643e-05,5,2000
"Botulism, Wound",California,2005,Female,4,18088355,0.022,0.006,0.057,*,0.02211367479242861,0.00011367479242860995,5,2000
"Botulism, Wound",California,2005,Male,23,17899282,0.128,0.081,0.193, ,0.12849677433988693,0.0004967743398869295,5,2000
"Botulism, Wound",California,2006,Total,38,36248870,0.105,0.074,0.144, ,0.1048308540376569,0.00016914596234308965,6,2000
"Botulism, Wound",California,2006,Female,11,18220429,0.06,0.03,0.108,*,0.060371794758509796,0.0003717947585097983,6,2000
"Botulism, Wound",California,2006,Male,27,18028441,0.15,0.099,0.218, ,0.1497633655622247,0.00023663443777530158,6,2000
"Botulism, Wound",California,2007,Total,19,36554575,0.052,0.031,0.081, ,0.05197707810855413,2.2921891445870646e-05,7,2000
"Botulism, Wound",California,2007,Female,4,18373955,0.022,0.006,0.056,*,0.021769945556087408,0.00023005444391259108,7,2000
"Botulism, Wound",California,2007,Male,15,18180620,0.083,0.046,0.136,*,0.08250543710830543,0.0004945628916945694,7,2000
"Botulism, Wound",California,2008,Total,18,36858270,0.049,0.029,0.077,*,0.0488357158379924,0.00016428416200760243,8,2000
"Botulism, Wound",California,2008,Female,6,18526603,0.032,0.012,0.07,*,0.03238586156350411,0.00038586156350411266,8,2000
"Botulism, Wound",California,2008,Male,12,18331667,0.065,0.034,0.114,*,0.0654604952184654,0.00046049521846540376,8,2000
"Botulism, Wound",California,2009,Total,18,37079253,0.049,0.029,0.077,*,0.048544667283345756,0.00045533271665424563,9,2000
